ZIP_CODE,NEIGHBORHOOD,CASES,DEATHS
11370,Jackson Heights/Rikers Island,1670,65
11372,Jackson Heights,3336,270
11373,Elmhurst,4284,301
11374,Rego Park,1609,104
11375,Forest Hills,2116,190
11377,Woodside,3177,198
11378,Maspeth,1053,75
11379,Middle Village,1160,106
11385,Glendale/Ridgewood,3156,145
11411,Cambria Heights,824,50
11412,St. Albans,1544,92
11413,Laurelton/Rosedale,1582,104
11414,Hamilton Beach/Howard Beach/Lindenwood,1073,63
11415,Kew Gardens,756,53
11416,Ozone Park,1040,59
11417,Ozone Park,1150,51
11418,Richmond Hill,1552,106
11419,Richmond Hill/South Ozone Park,1596,100
11420,South Ozone Park,1815,108
11421,Woodhaven,1660,103
11422,Rosedale,1212,68
11423,Hollis/Holliswood,1400,109
11426,Bellerose,675,34
11427,Bellerose/Hollis Hills/Holliswood,990,55
11428,Queens Village,824,55
11429,Queens Village,1220,76
11432,Hillcrest/Jamaica Estates/Jamaica Hills,2558,259
11433,Jamaica,1241,82
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,2545,201
11435,Briarwood/Jamaica,2210,153
11436,South Jamaica/South Ozone Park,685,48
11691,Edgemere/Far Rockaway,3400,381
11692,Arverne/Edgemere,806,95
11693,Arverne/Broad Channel,440,29
11694,Belle Harbor-Neponsit/Rockaway Park,970,90
11697,Breezy Point,193,5
